episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread
185,18.8,0.376,50,3,12,1,3,0.24,0.76,100.0,12,13,13,0.471404492855072,1.0
186,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.26,0.74,91.0,13,11,13,0.9428090453147888,2.0
187,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,12,9,15,2.4494898319244385,6.0
188,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,82.0,12,14,12,0.9428090453147888,2.0
189,18.8,0.376,50,3,13,1,6,0.28,0.72,100.0,12,11,13,0.8164966106414795,2.0
190,20.400000000000002,0.40800000000000003,50,3,12,1,3,0.24,0.76,52.0,10,16,12,2.4944381713867188,6.0
191,18.8,0.376,50,3,12,1,3,0.24,0.76,100.0,11,13,14,1.247219204902649,3.0
192,19.0,0.38,50,3,12,1,3,0.24,0.76,60.0,11,15,12,1.699673056602478,4.0
193,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,82.0,13,13,11,0.9428090453147888,2.0
194,18.8,0.376,50,3,13,1,6,0.26,0.74,100.0,12,10,15,2.054804563522339,5.0
195,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,12,10,15,2.054804563522339,5.0
196,18.8,0.376,50,3,13,1,9,0.26,0.74,100.0,11,12,14,1.247219204902649,3.0
197,20.2,0.40399999999999997,50,3,11,1,3,0.26,0.74,50.0,12,15,10,2.054804563522339,5.0
198,17.499999999999996,0.3499999999999999,50,3,11,1,3,0.36,0.64,28.0,10,13,9,1.699673056602478,4.0
199,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,12,11,14,1.247219204902649,3.0
200,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,12,11,13,0.8164966106414795,2.0
201,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,82.0,13,13,12,0.471404492855072,1.0
202,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,11,10,15,2.1602468490600586,5.0
203,20.200000000000003,0.4040000000000001,50,3,11,1,3,0.22,0.78,54.0,12,14,13,0.8164966106414795,2.0
204,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,12,12,13,0.471404492855072,1.0
205,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,12,12,13,0.471404492855072,1.0
206,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,12,11,13,0.8164966106414795,2.0
207,18.8,0.376,50,3,12,1,3,0.26,0.74,100.0,13,12,12,0.471404492855072,1.0
208,20.2,0.40399999999999997,50,3,12,1,3,0.26,0.74,84.0,12,12,13,0.471404492855072,1.0
209,18.8,0.376,50,3,13,1,3,0.3,0.7,100.0,12,9,14,2.054804563522339,5.0
