episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
112,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.58,0.42000000000000004,100,13,7,1,4.898979663848877,12.0,100.0,100.0,100.0,0.0,1,14.0,6.0,30.0,2,0,1,1,0.0,0.0
113,7.074829787015915,0.1414965957403183,50,2,3,0,,0.6,0.4,100,11,9,0,4.784233093261719,11.0,100.0,100.0,100.0,0.0,1,19.0,8.0,30.0,2,0,0,1,0.0,0.0
114,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.58,0.42000000000000004,100,12,8,1,4.546060562133789,11.0,100.0,100.0,100.0,0.0,1,14.0,6.0,30.0,2,0,1,1,0.0,0.0
115,7.074829787015915,0.1414965957403183,50,2,4,0,,0.56,0.43999999999999995,100,13,9,0,5.436502456665039,13.0,100.0,100.0,100.0,0.0,1,13.0,4.0,30.0,3,0,0,1,0.0,0.0
116,7.074829787015915,0.1414965957403183,50,2,3,0,,0.6,0.4,100,13,7,0,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,19.0,7.0,31.0,2,0,0,1,0.0,0.0
117,7.074829787015915,0.1414965957403183,50,2,3,0,,0.6,0.4,100,13,7,0,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,19.0,7.0,31.0,2,0,0,1,0.0,0.0
118,7.074829787015915,0.1414965957403183,50,2,4,0,,0.6,0.4,100,12,8,0,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
119,7.891156300902367,0.15782312601804732,50,2,3,0,,0.6,0.4,100,12,8,0,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,17.0,3.0,31.0,2,0,0,1,0.0,0.0
120,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.58,0.42000000000000004,100,12,8,1,4.546060562133789,11.0,100.0,100.0,100.0,0.0,1,14.0,6.0,30.0,2,0,1,1,0.0,0.0
121,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.56,0.43999999999999995,100,12,9,1,4.642796039581299,11.0,100.0,100.0,100.0,0.0,1,14.0,6.0,30.0,2,0,1,1,0.0,0.0
122,7.074829787015915,0.1414965957403183,50,2,3,0,,0.5,0.5,100,16,9,0,6.548961162567139,16.0,100.0,100.0,100.0,0.0,1,19.5,8.0,31.0,2,0,0,1,0.0,0.0
